yr,mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,cnt,Peak_Hour,hour_bucket,Weekend,Temp_Difference,season_spring,season_summer,season_winter,weathersit_Heavy Rain,weathersit_Light Snow,weathersit_Mist
2011,1,0,0,6,0,-1.3360469409107323,-1.094064452432299,0.94759573905177,-1.5542282378469092,16,0,3,1,0.0479,1,0,0,0,0,0
2011,1,1,0,6,0,-1.4399655564699423,-1.1825421748002687,0.895755430467217,-1.5542282378469092,40,0,3,1,0.0527,1,0,0,0,0,0
2011,1,2,0,6,0,-1.4399655564699423,-1.1825421748002687,0.014470184529816355,-1.5542282378469092,32,0,3,1,0.0527,1,0,0,0,0,0
2011,1,3,0,6,0,-1.3360469409107323,-1.094064452432299,0.636553887544452,-1.5542282378469092,13,0,3,1,0.0479,1,0,0,0,0,0
2011,1,4,0,6,0,-1.3360469409107323,-1.094064452432299,0.636553887544452,-1.5542282378469092,1,0,3,1,0.0479,1,0,0,0,0,0
2011,1,5,0,6,0,-1.3360469409107323,-1.2704378068895017,0.636553887544452,-0.8216003175368329,1,0,3,1,0.017600000000000005,1,0,0,0,0,1
2011,1,6,0,6,0,-1.4399655564699423,-1.1825421748002687,0.895755430467217,-1.5542282378469092,2,0,3,1,0.0527,1,0,0,0,0,0
2011,1,7,0,6,0,-1.5438841720291518,-1.2704378068895017,1.2067972819745345,-1.5542282378469092,3,1,2,1,0.057599999999999985,1,0,0,0,0,0
2011,1,8,0,6,0,-1.3360469409107323,-1.094064452432299,0.636553887544452,-1.5542282378469092,8,1,2,1,0.0479,1,0,0,0,0,0
2011,1,9,0,6,0,0.014895061358996025,-0.7413177435178941,0.688394196129005,-1.5542282378469092,14,1,2,1,0.15150000000000002,1,0,0,0,0,0
2011,1,10,0,6,0,-0.6086166319962631,-0.4770487569714586,0.688394196129005,0.5201880945489205,36,0,0,1,0.013899999999999968,1,0,0,0,0,0
2011,1,11,0,6,0,-0.712535247555473,0.052071306400149286,0.94759573905177,0.7646699563488234,56,0,0,1,0.12480000000000002,1,0,0,0,0,0
2011,1,12,0,6,0,-0.40077940087784353,-0.3006754025142558,0.740234504713558,0.032042036038747064,84,0,0,1,0.004200000000000037,1,0,0,0,0,0
2011,1,13,0,6,0,-0.1929421697594236,-0.12430204805705325,0.4810329617907929,0.8865020547039586,94,0,0,1,0.005500000000000005,1,0,0,0,0,1
2011,1,14,0,6,0,-0.1929421697594236,-0.12430204805705325,0.4810329617907929,0.7646699563488234,106,0,0,1,0.005500000000000005,1,0,0,0,0,1
2011,1,15,0,6,0,-0.2968607853186335,-0.2121976801462862,0.740234504713558,0.8865020547039586,110,0,0,1,0.0005999999999999894,0,0,0,0,0,1
2011,1,16,0,6,0,-0.40077940087784353,-0.3006754025142558,0.9994360476363224,0.8865020547039586,93,0,0,1,0.004200000000000037,1,0,0,0,0,1
2011,1,17,0,6,0,-0.2968607853186335,-0.2121976801462862,0.9994360476363224,0.7646699563488234,67,1,1,1,0.0005999999999999894,1,0,0,0,0,1
2011,1,18,0,6,0,0.014895061358996025,-0.3006754025142558,1.3104778991436405,0.5201880945489205,35,1,1,1,0.07579999999999998,1,0,0,0,1,0
2011,1,19,0,6,0,-0.40077940087784353,-0.3006754025142558,1.3104778991436405,0.5201880945489205,37,1,1,1,0.004200000000000037,1,0,0,0,1,0
2011,1,20,0,6,0,-0.5046980164370531,-0.38857103460348874,1.2586375905590874,0.5201880945489205,36,0,3,1,0.009099999999999997,1,0,0,0,0,1
2011,1,21,0,6,0,-0.5046980164370531,-0.38857103460348874,1.2586375905590874,0.032042036038747064,34,0,3,1,0.009099999999999997,1,0,0,0,0,1
2011,1,22,0,6,0,-0.5046980164370531,-0.38857103460348874,1.621519750650958,0.2765238978386496,28,0,3,1,0.009099999999999997,1,0,0,0,0,1
2011,1,23,0,6,0,-0.1929421697594236,-0.12430204805705325,1.3104778991436405,0.8865020547039586,39,0,3,1,0.005500000000000005,1,0,0,0,0,1
2011,1,0,0,0,0,-0.1929421697594236,-0.12430204805705325,1.3104778991436405,0.8865020547039586,17,0,3,1,0.005500000000000005,1,0,0,0,0,1
2011,1,1,0,0,0,-0.2968607853186335,-0.2121976801462862,1.621519750650958,0.5201880945489205,17,0,3,1,0.0005999999999999894,1,0,0,0,0,1
2011,1,2,0,0,0,-0.40077940087784353,-0.3006754025142558,1.932561602158276,0.7646699563488234,9,0,3,1,0.004200000000000037,1,0,0,0,0,1
2011,1,3,0,0,0,-0.1929421697594236,-0.12430204805705325,1.621519750650958,0.032042036038747064,6,0,3,1,0.005500000000000005,1,0,0,0,0,1
2011,1,4,0,0,0,-0.1929421697594236,-0.12430204805705325,1.621519750650958,0.032042036038747064,3,0,3,1,0.005500000000000005,1,0,0,0,0,1
2011,1,6,0,0,0,-0.40077940087784353,-0.3006754025142558,0.740234504713558,0.8865020547039586,2,0,3,1,0.004200000000000037,1,0,0,0,1,0
2011,1,7,0,0,0,-0.5046980164370531,-0.38857103460348874,0.688394196129005,0.032042036038747064,1,1,2,1,0.009099999999999997,1,0,0,0,0,1
2011,1,8,0,0,0,-0.5046980164370531,-0.38857103460348874,0.4291926532062399,0.2765238978386496,8,1,2,1,0.009099999999999997,1,0,0,0,1,0
2011,1,9,0,0,0,-0.6086166319962631,-0.4770487569714586,0.688394196129005,0.2765238978386496,20,1,2,1,0.013899999999999968,1,0,0,0,0,1
2011,1,10,0,0,0,-0.712535247555473,-0.7413177435178941,0.94759573905177,0.2765238978386496,53,0,0,1,0.01150000000000001,1,0,0,0,0,1
2011,1,11,0,0,0,-0.712535247555473,-0.8297954658858637,0.4291926532062399,0.5201880945489205,70,0,0,1,0.0267,1,0,0,0,0,1
2011,1,12,0,0,0,-0.712535247555473,-0.8297954658858637,0.16999111028347538,0.8865020547039586,93,0,0,1,0.0267,1,0,0,0,0,1
2011,1,13,0,0,0,-0.712535247555473,-0.7413177435178941,0.16999111028347538,-0.4561040224714265,75,0,0,1,0.01150000000000001,1,0,0,0,0,1
2011,1,14,0,0,0,-0.712535247555473,-0.7413177435178941,0.688394196129005,0.032042036038747064,59,0,0,1,0.01150000000000001,1,0,0,0,1,0
2011,1,15,0,0,0,-0.8164538631146827,-0.8297954658858637,0.94759573905177,-0.21162216067152378,74,0,0,1,0.006700000000000039,1,0,0,0,1,0
2011,1,16,0,0,0,-0.8164538631146827,-0.8297954658858637,0.4291926532062399,-0.21162216067152378,76,0,0,1,0.006700000000000039,1,0,0,0,1,0
2011,1,17,0,0,0,-0.8164538631146827,-0.8297954658858637,-0.2965716669775017,0.032042036038747064,65,1,1,1,0.006700000000000039,1,0,0,0,0,0
2011,1,18,0,0,0,-0.712535247555473,-0.8297954658858637,-0.866815061407584,1.1309839165038615,53,1,1,1,0.0267,1,0,0,0,0,1
2011,1,19,0,0,0,-0.9203724786738927,-1.094064452432299,-1.074176295745796,2.1072760335242084,30,1,1,1,0.03210000000000002,0,0,0,0,0,0
2011,1,20,0,0,0,-1.0242910942331027,-1.1825421748002687,-1.2296972214994548,1.3746481132141324,22,0,3,1,0.02729999999999999,1,0,0,0,0,0
2011,1,21,0,0,0,-1.2321283253515223,-1.4468111613467043,-0.9704956785766901,1.1309839165038615,31,0,3,1,0.03270000000000001,1,0,0,0,0,0
2011,1,22,0,0,0,-1.3360469409107323,-1.5352888837146739,-0.9704956785766901,0.8865020547039586,9,0,3,1,0.02789999999999998,1,0,0,0,0,0
